date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:42:42	84512/84512	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08211-14a20%22	https://rstheme.com/products/html/braintech/index.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index.html	(from )
02:42:43	88/88	---MCZ	200	added ('OK')	text/plain	date:Thu,%2011%20Aug%202022%2019:59:16%20GMT	https://rstheme.com/robots.txt		(from )
02:42:44	47912/47912	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2011%20Aug%202022%2019:59:17%20GMT	https://rstheme.com/products/html/braintech/apple-touch-icon.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/apple-touch-icon.png	(from https://rstheme.com/products/html/braintech/index.html)
02:42:45	1897/1897	---M--	200	added ('OK')	image/png	etag:%22613f365c-769%22	https://rstheme.com/products/html/braintech/assets/images/fav.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/fav.png	(from https://rstheme.com/products/html/braintech/index.html)
02:42:45	159476/159476	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-26ef4%22	https://rstheme.com/products/html/braintech/assets/css/bootstrap.min.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/bootstrap.min.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:45	31004/31004	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-791c%22	https://rstheme.com/products/html/braintech/assets/css/font-awesome.min.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/font-awesome.min.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:46	3319/3319	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365d-cf7%22	https://rstheme.com/products/html/braintech/assets/fonts/flaticon.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/fonts/flaticon.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:46	74602/74602	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-1236a%22	https://rstheme.com/products/html/braintech/assets/css/animate.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/animate.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:46	4028/4028	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-fbc%22	https://rstheme.com/products/html/braintech/assets/css/owl.carousel.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/owl.carousel.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:47	1846/1846	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-736%22	https://rstheme.com/products/html/braintech/assets/css/slick.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/slick.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:47	5734/5734	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-1666%22	https://rstheme.com/products/html/braintech/assets/css/off-canvas.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/off-canvas.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:47	7306/7306	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-1c8a%22	https://rstheme.com/products/html/braintech/assets/css/magnific-popup.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/magnific-popup.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:48	14973/14973	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-3a7d%22	https://rstheme.com/products/html/braintech/assets/css/rsmenu-main.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/rsmenu-main.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:48	253234/253234	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-3dd32%22	https://rstheme.com/products/html/braintech/assets/css/rs-spacing.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/rs-spacing.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:49	277470/277470	---MCZ	200	added ('OK')	text/css	etag:W/%2261c083a1-43bde%22	https://rstheme.com/products/html/braintech/style.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/style.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:49	50241/50241	---MCZ	200	added ('OK')	text/css	etag:W/%22613f365c-c441%22	https://rstheme.com/products/html/braintech/assets/css/responsive.css	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/css/responsive.css	(from https://rstheme.com/products/html/braintech/index.html)
02:42:49	7399/7399	---M--	200	added ('OK')	image/png	etag:%22613f365d-1ce7%22	https://rstheme.com/products/html/braintech/assets/images/logo-dark.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/logo-dark.png	(from https://rstheme.com/products/html/braintech/index.html)
02:42:49	7360/7360	---M--	200	added ('OK')	image/png	etag:%22613f365c-1cc0%22	https://rstheme.com/products/html/braintech/assets/images/logo-light.png	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/assets/images/logo-light.png	(from https://rstheme.com/products/html/braintech/index.html)
02:42:50	91677/91677	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08211-1661d%22	https://rstheme.com/products/html/braintech/index2.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index2.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:50	104524/104524	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08217-1984c%22	https://rstheme.com/products/html/braintech/index3.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index3.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:50	82293/82293	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08217-14175%22	https://rstheme.com/products/html/braintech/index4.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index4.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:51	92219/92219	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08218-1683b%22	https://rstheme.com/products/html/braintech/index5.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index5.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:51	101804/101804	---MCZ	200	added ('OK')	text/html	etag:W/%2261c0821c-18dac%22	https://rstheme.com/products/html/braintech/index6.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index6.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:51	104387/104387	---MCZ	200	added ('OK')	text/html	etag:W/%2261c0821c-197c3%22	https://rstheme.com/products/html/braintech/index7.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index7.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:52	80557/80557	---MCZ	200	added ('OK')	text/html	etag:W/%2261c0821d-13aad%22	https://rstheme.com/products/html/braintech/index8.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index8.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:52	75724/75724	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08221-127cc%22	https://rstheme.com/products/html/braintech/index9.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index9.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:52	61584/61584	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08221-f090%22	https://rstheme.com/products/html/braintech/index10.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index10.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:52	93594/93594	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08222-16d9a%22	https://rstheme.com/products/html/braintech/index11.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index11.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:53	60673/60673	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08227-ed01%22	https://rstheme.com/products/html/braintech/index12.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index12.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:53	75965/75965	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08228-128bd%22	https://rstheme.com/products/html/braintech/index13.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index13.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:53	79224/79224	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08228-13578%22	https://rstheme.com/products/html/braintech/index14.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/index14.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:54	95064/95064	---MCZ	200	added ('OK')	text/html	etag:W/%2261c0822c-17358%22	https://rstheme.com/products/html/braintech/onepage1.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage1.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:54	101241/101241	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08231-18b79%22	https://rstheme.com/products/html/braintech/onepage2.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage2.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:54	108887/108887	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08232-1a957%22	https://rstheme.com/products/html/braintech/onepage3.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage3.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:54	84614/84614	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08232-14a86%22	https://rstheme.com/products/html/braintech/onepage4.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage4.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:55	105688/105688	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081c7-19cd8%22	https://rstheme.com/products/html/braintech/onepage5.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage5.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:55	111442/111442	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081c7-1b352%22	https://rstheme.com/products/html/braintech/onepage6.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage6.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:55	92816/92816	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081c7-16a90%22	https://rstheme.com/products/html/braintech/onepage7.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage7.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:56	69803/69803	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081cb-110ab%22	https://rstheme.com/products/html/braintech/onepage8.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage8.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:56	69665/69665	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081cc-11021%22	https://rstheme.com/products/html/braintech/onepage9.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage9.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:56	79223/79223	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081cc-13577%22	https://rstheme.com/products/html/braintech/onepage10.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage10.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:56	109394/109394	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081d0-1ab52%22	https://rstheme.com/products/html/braintech/onepage11.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage11.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:57	53484/53484	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081d0-d0ec%22	https://rstheme.com/products/html/braintech/onepage12.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage12.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:57	83997/83997	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081d1-1481d%22	https://rstheme.com/products/html/braintech/onepage13.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage13.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:57	79331/79331	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081d6-135e3%22	https://rstheme.com/products/html/braintech/onepage14.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/onepage14.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:58	62184/62184	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081ed-f2e8%22	https://rstheme.com/products/html/braintech/about.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/about.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:58	51685/51685	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081e8-c9e5%22	https://rstheme.com/products/html/braintech/software-development.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/software-development.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:58	41744/41744	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081ed-a310%22	https://rstheme.com/products/html/braintech/web-development.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/web-development.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:59	51534/51534	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081f1-c94e%22	https://rstheme.com/products/html/braintech/analytic-solutions.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/analytic-solutions.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:59	41720/41720	---MCZ	200	added ('OK')	text/html	etag:W/%2261c08207-a2f8%22	https://rstheme.com/products/html/braintech/cloud-and-devops.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/cloud-and-devops.html	(from https://rstheme.com/products/html/braintech/index.html)
02:42:59	51542/51542	---MCZ	200	added ('OK')	text/html	etag:W/%2261c081dc-c956%22	https://rstheme.com/products/html/braintech/product-design.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/product-design.html	(from https://rstheme.com/products/html/braintech/index.html)
02:43:00	41710/41710	---MCZ	200	added ('OK')	text/html	etag:W/%2261c0820b-a2ee%22	https://rstheme.com/products/html/braintech/data-center.html	C:/Users/User/Downloads/braintech/rstheme.com/products/html/braintech/data-center.html	(from https://rstheme.com/products/html/braintech/index.html)
